Time,RobotMode,BatteryVoltage,LagTime,Throttle,LeftMotorOut,RightMotorOut,Velocity,Distance,Ultrasonic,GyroAngle,PSIReadout,ArmState,ShiftHigh,ShooterState
02:07:04.425 PM 12/27/2014,Teleop Enabled,12.366315,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.169940,0.764473,103.198230,FALSE,TRUE,Unready
02:07:04.526 PM 12/27/2014,Teleop Enabled,12.887760,50.000000,0.000000,0.000000,0.000000,0.048471,0.037575,86.233315,0.486980,99.490344,FALSE,TRUE,Unready
02:07:04.627 PM 12/27/2014,Teleop Enabled,12.881477,50.000000,0.000000,0.000000,0.000000,-0.339282,-0.012525,86.367973,0.511532,101.596057,FALSE,TRUE,Unready
02:07:04.728 PM 12/27/2014,Teleop Enabled,12.787240,49.000000,0.000000,0.000000,0.000000,0.149076,-0.112725,85.903787,0.526349,100.634753,FALSE,TRUE,Unready
02:07:04.828 PM 12/27/2014,Teleop Enabled,12.843782,51.000000,0.000000,0.000000,0.000000,0.131240,-0.025050,86.637654,0.667895,99.490344,FALSE,TRUE,Unready
02:07:04.929 PM 12/27/2014,Teleop Enabled,12.887760,49.000000,0.000000,0.000000,0.000000,0.122951,0.050100,86.170669,0.753573,99.215686,FALSE,TRUE,Unready
02:07:05.032 PM 12/27/2014,Teleop Enabled,12.831218,50.000000,0.000000,0.000000,0.000000,0.053061,0.100200,86.278809,0.694104,99.261463,FALSE,TRUE,Unready
02:07:05.133 PM 12/27/2014,Teleop Enabled,12.774675,50.000000,0.000000,0.000000,0.000000,0.000000,0.087675,86.152910,0.690285,99.810779,FALSE,TRUE,Unready
02:07:05.234 PM 12/27/2014,Teleop Enabled,12.824935,51.000000,0.000000,0.000000,0.000000,0.000000,0.075150,86.237451,0.684604,99.902332,FALSE,TRUE,Unready
02:07:05.335 PM 12/27/2014,Teleop Enabled,12.856347,50.000000,0.000000,0.000000,0.000000,0.000000,0.075150,86.136366,0.676467,99.673450,FALSE,TRUE,Unready
02:07:05.435 PM 12/27/2014,Teleop Enabled,12.837500,51.000000,0.000000,0.000000,0.000000,0.000000,0.075150,86.150963,0.676996,99.490344,FALSE,TRUE,Unready
