Time,RobotMode,BatteryVoltage,LagTime,Throttle,LeftMotorOut,RightMotorOut,Velocity,Distance,Ultrasonic,GyroAngle,PSIReadout,ArmState,ShiftHigh,ShooterState
12:02:11.731 AM 12/05/2014,Teleop Enabled,12.806088,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.831288,359.326267,146.182234,FALSE,FALSE,Unready
12:02:11.831 AM 12/05/2014,Teleop Enabled,12.799805,49.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.801851,359.320074,146.136458,FALSE,FALSE,Unready
12:02:11.932 AM 12/05/2014,Teleop Enabled,12.787240,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.810974,359.315445,146.090681,FALSE,FALSE,Unready
12:02:12.033 AM 12/05/2014,Teleop Enabled,12.787240,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.832504,359.320167,146.090681,FALSE,FALSE,Unready
12:02:12.134 AM 12/05/2014,Teleop Enabled,12.793523,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.821921,359.311172,146.365340,FALSE,FALSE,Unready
12:02:12.235 AM 12/05/2014,Teleop Enabled,12.793523,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.821557,359.324831,146.182234,FALSE,FALSE,Unready
12:02:12.335 AM 12/05/2014,Teleop Enabled,12.780958,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.775941,359.312136,146.136458,FALSE,FALSE,Unready
12:02:12.436 AM 12/05/2014,Teleop Enabled,12.793523,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.790659,359.301545,146.365340,FALSE,FALSE,Unready
12:02:12.536 AM 12/05/2014,Teleop Enabled,12.793523,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.820948,359.295900,146.319563,FALSE,FALSE,Unready
12:02:12.637 AM 12/05/2014,Teleop Enabled,12.787240,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.788470,359.286937,146.136458,FALSE,FALSE,Unready
12:02:12.738 AM 12/05/2014,Teleop Enabled,12.780958,49.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.827395,359.283258,146.319563,FALSE,FALSE,Unready
12:02:12.838 AM 12/05/2014,Teleop Enabled,12.793523,51.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.813407,359.286052,146.228010,FALSE,FALSE,Unready
12:02:12.939 AM 12/05/2014,Teleop Enabled,12.799805,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.782144,359.283407,145.953352,FALSE,FALSE,Unready
