Time,RobotMode,BatteryVoltage,LagTime,Throttle,LeftMotorOut,RightMotorOut,Velocity,Distance,Ultrasonic,GyroAngle,PSIReadout,ArmState,ShiftHigh,ShooterState
06:54:52.662 PM 12/27/2014,Teleop Enabled,12.133863,51.000000,0.000000,0.000000,0.000000,-0.382228,663.712275,86.174440,6.727006,96.560657,FALSE,FALSE,Unready
06:54:52.763 PM 12/27/2014,Teleop Enabled,12.133863,50.000000,0.000000,0.000000,0.000000,-2.234532,663.687225,86.156194,6.728940,96.881092,FALSE,FALSE,Unready
06:54:52.864 PM 12/27/2014,Teleop Enabled,12.158993,50.000000,0.000000,0.000000,0.000000,0.000000,663.687225,86.165560,6.735567,97.064197,FALSE,FALSE,Unready
06:54:52.964 PM 12/27/2014,Teleop Enabled,12.177841,50.000000,0.000000,0.000000,0.000000,-0.094610,663.674700,86.214096,6.746058,97.201526,FALSE,FALSE,Unready
06:54:53.064 PM 12/27/2014,Teleop Enabled,12.196688,50.000000,0.000000,0.000000,0.000000,0.213555,663.561975,86.159113,6.739349,97.384632,FALSE,FALSE,Unready
06:54:53.165 PM 12/27/2014,Teleop Enabled,12.215535,50.000000,0.000000,0.000000,0.000000,5.969402,663.449250,86.194025,6.748102,97.018421,FALSE,FALSE,Unready
06:54:53.266 PM 12/27/2014,Teleop Enabled,12.234383,50.000000,0.000000,0.000000,0.000000,-2.144325,663.248850,86.205581,6.752123,96.972644,FALSE,FALSE,Unready
06:54:53.367 PM 12/27/2014,Teleop Enabled,12.240665,50.000000,0.000000,0.000000,0.000000,0.000000,663.136125,86.203999,6.766247,97.018421,FALSE,FALSE,Unready
06:54:53.468 PM 12/27/2014,Teleop Enabled,12.259513,50.000000,0.000000,0.000000,0.000000,0.000000,663.111075,86.232950,6.779682,97.018421,FALSE,FALSE,Unready
06:54:53.569 PM 12/27/2014,Teleop Enabled,12.278360,50.000000,0.000000,0.000000,0.000000,-7.220685,663.073500,86.247182,6.784435,97.201526,FALSE,FALSE,Unready
06:54:53.670 PM 12/27/2014,Teleop Enabled,12.253230,51.000000,0.000000,0.000000,0.000000,0.123884,663.111075,86.179306,6.784741,97.613513,FALSE,FALSE,Unready
06:54:53.772 PM 12/27/2014,Teleop Enabled,12.228100,50.000000,0.000000,0.000000,0.000000,-Inf,662.923200,86.183199,6.790681,98.071277,FALSE,FALSE,Unready
06:54:53.873 PM 12/27/2014,Teleop Enabled,12.209253,50.000000,0.000000,0.000000,0.000000,0.000000,662.898150,86.270416,6.808172,98.437488,FALSE,FALSE,Unready
06:54:53.974 PM 12/27/2014,Teleop Enabled,12.246948,50.000000,0.000000,0.000000,0.000000,0.000000,662.873100,86.245966,6.826513,98.941028,FALSE,FALSE,Unready
06:54:54.075 PM 12/27/2014,Teleop Enabled,12.265795,50.000000,0.000000,0.000000,0.000000,-Inf,662.848050,86.235870,6.846724,99.032581,FALSE,FALSE,Unready
06:54:54.176 PM 12/27/2014,Teleop Enabled,12.284643,50.000000,0.000000,0.000000,0.000000,-1.351745,662.823000,86.247791,6.867333,99.261463,FALSE,FALSE,Unready
06:54:54.277 PM 12/27/2014,Teleop Enabled,12.259513,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.238546,6.887910,99.124133,FALSE,FALSE,Unready
06:54:54.377 PM 12/27/2014,Teleop Enabled,12.234383,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.202783,6.894415,99.078357,FALSE,FALSE,Unready
06:54:54.478 PM 12/27/2014,Teleop Enabled,12.146428,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.246452,6.912575,98.849475,FALSE,FALSE,Unready
06:54:54.578 PM 12/27/2014,Teleop Enabled,12.127581,51.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.239884,6.927616,98.803699,FALSE,FALSE,Unready
06:54:54.679 PM 12/27/2014,Teleop Enabled,12.158993,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.205702,6.938957,98.986804,FALSE,FALSE,Unready
06:54:54.780 PM 12/27/2014,Teleop Enabled,12.190406,49.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.236113,6.949480,99.261463,FALSE,FALSE,Unready
06:54:54.881 PM 12/27/2014,Teleop Enabled,12.202970,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.261901,6.962911,99.719226,FALSE,FALSE,Unready
06:54:54.982 PM 12/27/2014,Teleop Enabled,12.234383,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.244628,6.981888,100.085437,FALSE,FALSE,Unready
06:54:55.083 PM 12/27/2014,Teleop Enabled,12.246948,49.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.180766,6.982639,100.497424,FALSE,FALSE,Unready
06:54:55.183 PM 12/27/2014,Teleop Enabled,12.253230,51.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.244263,6.998533,100.909412,FALSE,FALSE,Unready
06:54:55.284 PM 12/27/2014,Teleop Enabled,12.272078,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.191592,7.005395,100.955188,FALSE,FALSE,Unready
06:54:55.385 PM 12/27/2014,Teleop Enabled,12.240665,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.209230,7.013404,101.138293,FALSE,FALSE,Unready
06:54:55.485 PM 12/27/2014,Teleop Enabled,12.240665,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.237208,7.026583,100.726306,FALSE,FALSE,Unready
06:54:55.586 PM 12/27/2014,Teleop Enabled,12.140146,51.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.232829,7.043608,100.588977,FALSE,FALSE,Unready
06:54:55.686 PM 12/27/2014,Teleop Enabled,12.127581,51.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.236113,7.051159,100.680530,FALSE,FALSE,Unready
06:54:55.787 PM 12/27/2014,Teleop Enabled,12.152711,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.253751,7.059279,100.726306,FALSE,FALSE,Unready
06:54:55.888 PM 12/27/2014,Teleop Enabled,12.215535,51.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.224070,7.075242,101.046741,FALSE,FALSE,Unready
06:54:55.988 PM 12/27/2014,Teleop Enabled,12.215535,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.216042,7.091766,101.458728,FALSE,FALSE,Unready
06:54:56.089 PM 12/27/2014,Teleop Enabled,12.234383,50.000000,0.000000,0.000000,0.000000,0.000000,662.823000,86.224192,7.105645,101.870715,FALSE,FALSE,Unready
06:54:56.190 PM 12/27/2014,Teleop Enabled,12.246948,50.000000,0.000000,0.000000,0.000000,2319.444444,662.810475,86.234045,7.122972,102.236926,FALSE,FALSE,Unready
06:54:56.291 PM 12/27/2014,Teleop Enabled,12.259513,50.000000,0.000000,0.000000,0.000000,0.000000,662.810475,86.247061,7.134089,102.511584,FALSE,FALSE,Unready
06:54:56.392 PM 12/27/2014,Teleop Enabled,12.278360,50.000000,0.000000,0.000000,0.000000,0.000000,662.810475,86.258008,7.159099,102.648913,FALSE,FALSE,Unready
06:54:56.492 PM 12/27/2014,Teleop Enabled,12.272078,50.000000,0.000000,0.000000,0.000000,0.000000,662.810475,86.228449,7.180803,103.015124,FALSE,FALSE,Unready
06:54:56.593 PM 12/27/2014,Teleop Enabled,12.265795,50.000000,0.000000,0.000000,0.000000,-2982.142857,662.772900,86.227598,7.194682,102.511584,TRUE,FALSE,Unready
06:54:56.693 PM 12/27/2014,Teleop Enabled,12.102451,51.000000,0.000000,0.000000,0.000000,-Inf,662.710275,86.129189,7.189342,103.655993,TRUE,FALSE,Unready
06:54:56.794 PM 12/27/2014,Teleop Enabled,12.121298,50.000000,0.000000,0.000000,0.000000,0.110121,662.647650,86.408723,7.224349,102.328479,TRUE,FALSE,Unready
06:54:56.894 PM 12/27/2014,Teleop Enabled,12.115016,51.000000,0.000000,0.000000,0.000000,-Inf,662.585025,86.074815,7.194803,102.557361,TRUE,FALSE,Unready
06:54:56.994 PM 12/27/2014,Teleop Enabled,12.108733,50.000000,0.000000,0.000000,0.000000,0.080077,662.647650,86.259468,7.186587,101.092517,TRUE,FALSE,Unready
06:54:57.094 PM 12/27/2014,Teleop Enabled,12.115016,50.000000,0.000000,0.000000,0.000000,85.204082,662.635125,86.088561,7.223546,99.169910,TRUE,FALSE,Unready
